series,condition,sigma,cell,rho,alpha_b,seed,N,pi_c,tau_LATE_true,kappa_LATE_true,NIE_LATE,NDE_LATE,tau_IV_IPSW,bias,SE_tau,CI_L,CI_U,CI_covers_true,FS_IPSW,RF_IPSW,W_mean_oracle,W_cv_oracle,W_mean_degraded,W_cv_degraded,n_C1,crash_rate
temporal,no_b_term,0.0,T2-d,1.0,3.972,456,1000000,0.300074,-0.015411669271373322,0.7470412166187527,0.04551394503372711,-0.060925614305100434,-0.048556514737192184,-0.03314484546581886,0.0035093519600112493,-0.05543484457881423,-0.04167818489557014,0,0.24737052295364903,-0.012011450443345797,8.077323221300718,0.440827100173654,11.143664763288424,0.2869141146374003,146487,0.146487
noise,sigma=0.0,0.0,T2-d,1.0,3.972,789,1000000,0.299007,-0.015254671553074577,0.7484747873209464,0.04539400613054018,-0.06064867768361476,-0.016126557611569708,-0.0008718860584951311,0.0031968028837128224,-0.02239229126364684,-0.009860823959492577,1,0.296684556360807,-0.0047845005906155536,8.07817917019343,0.44028147464434647,8.07817917019343,0.44028147464434647,146440,0.14644
noise,sigma=0.1,0.1,T2-d,1.0,3.972,789,1000000,0.299007,-0.015254671553074577,0.7484747873209464,0.04539400613054018,-0.06064867768361476,-0.015359997474655242,-0.00010532592158066581,0.0032071941965297066,-0.02164609809985347,-0.009073896849457017,1,0.2970130004460086,-0.0045621189367904685,8.07817917019343,0.44028147464434647,8.118043229612667,0.4540078666696984,146440,0.14644
noise,sigma=0.2,0.2,T2-d,1.0,3.972,789,1000000,0.299007,-0.015254671553074577,0.7484747873209464,0.04539400613054018,-0.06064867768361476,-0.0170529372689559,-0.0017982657158813233,0.003265425461238847,-0.02345317117298404,-0.01065270336492776,1,0.29670010921759776,-0.005059608350180059,8.07817917019343,0.44028147464434647,8.243633488692488,0.49236558146105874,146440,0.14644
noise,sigma=0.4,0.4,T2-d,1.0,3.972,789,1000000,0.299007,-0.015254671553074577,0.7484747873209464,0.04539400613054018,-0.06064867768361476,-0.015415405476331127,-0.00016073392325655078,0.003439398005606417,-0.022156625567319704,-0.00867418538534255,1,0.29832642326904846,-0.004598822778995967,8.07817917019343,0.44028147464434647,8.747957669477387,0.6322542719594239,146440,0.14644
spatial,state_K10,0.0,T2-d,1.0,3.972,789,1000000,0.299007,-0.015254671553074577,0.7484747873209464,0.04539400613054018,-0.06064867768361476,-0.016806890225864766,-0.0015522186727901892,0.0031448980343536715,-0.022970890373197963,-0.010642890078531569,1,0.2964763684196646,-0.004982845778592343,8.07817917019343,0.44028147464434647,8.0069243372044,0.41372912717688676,146440,0.14644
temporal,no_b_term,0.0,T2-d,1.0,3.972,789,1000000,0.299007,-0.015254671553074577,0.7484747873209464,0.04539400613054018,-0.06064867768361476,-0.04458392254570218,-0.029329250992627606,0.003480382999748446,-0.051405473225209136,-0.03776237186619523,0,0.248803326347931,-0.011092628231009219,8.07817917019343,0.44028147464434647,11.145654336286556,0.2871784816137895,146440,0.14644
noise,sigma=0.0,0.0,T2-d,1.0,3.972,2026,1000000,0.299895,-0.015288776106372047,0.7481406316832039,0.0454148467469235,-0.060703622853295544,-0.014760410294420847,0.0005283658119512001,0.0031506508786196346,-0.020935686016515333,-0.008585134572326363,1,0.2995921193848332,-0.0044221026030952515,8.074385730212743,0.4395540570758248,8.074385730212743,0.4395540570758248,146765,0.146765
noise,sigma=0.1,0.1,T2-d,1.0,3.972,2026,1000000,0.299895,-0.015288776106372047,0.7481406316832039,0.0454148467469235,-0.060703622853295544,-0.014380034221673088,0.0009087418846989593,0.003168955069695347,-0.020591186158275966,-0.008168882285070208,1,0.2996440597093999,-0.004308891832942224,8.074385730212743,0.4395540570758248,8.116028268813073,0.45323405937332745,146765,0.146765
noise,sigma=0.2,0.2,T2-d,1.0,3.972,2026,1000000,0.299895,-0.015288776106372047,0.7481406316832039,0.0454148467469235,-0.060703622853295544,-0.015146453651904984,0.00014232245446706322,0.003224492412810865,-0.02146645878101428,-0.00882644852279569,1,0.29898389533179603,-0.0045285457133090595,8.074385730212743,0.4395540570758248,8.239764806928653,0.4922258631167354,146765,0.146765
noise,sigma=0.4,0.4,T2-d,1.0,3.972,2026,1000000,0.299895,-0.015288776106372047,0.7481406316832039,0.0454148467469235,-0.060703622853295544,-0.010918070621305,0.004370705485067046,0.0034122372876733845,-0.017606055705144834,-0.004230085537465168,1,0.29963824154823726,-0.0032714714820673008,8.074385730212743,0.4395540570758248,8.744548195692726,0.6331338820334981,146765,0.146765
spatial,state_K10,0.0,T2-d,1.0,3.972,2026,1000000,0.299895,-0.015288776106372047,0.7481406316832039,0.0454148467469235,-0.060703622853295544,-0.015717219598480433,-0.00042844349210838586,0.0031057439917962894,-0.02180447782240116,-0.009629961374559706,1,0.29939889649529094,-0.004705718203759202,8.074385730212743,0.4395540570758248,8.003881940928538,0.4135333517331748,146765,0.146765
temporal,no_b_term,0.0,T2-d,1.0,3.972,2026,1000000,0.299895,-0.015288776106372047,0.7481406316832039,0.0454148467469235,-0.060703622853295544,-0.0452538881149823,-0.029965112008610253,0.00344763256384161,-0.05201124794011186,-0.03849652828985274,0,0.25066920044135266,-0.011343755950645046,8.074385730212743,0.4395540570758248,11.139281379552756,0.2867381532225058,146765,0.146765
noise,sigma=0.0,0.0,T2-null,0.5,4.99720863,42,1000000,0.338096,0.0018608731344097323,1.0285207095336806,0.06710725602022793,-0.0652463828858182,0.0035962574666906443,0.001735384332280912,0.0028758237511943194,-0.0020403570856502213,0.00923287201903151,1,0.33828399726146574,0.0012165563510135036,7.442769771682545,0.4717677938489621,7.442769771682545,0.4717677938489621,162130,0.16213
noise,sigma=0.1,0.1,T2-null,0.5,4.99720863,42,1000000,0.338096,0.0018608731344097323,1.0285207095336806,0.06710725602022793,-0.0652463828858182,0.003772306658389431,0.0019114335239796987,0.002889267604273148,-0.0018906578459859389,0.0094352711627648,1,0.33793318051216265,0.0012747875869367487,7.442769771682545,0.4717677938489621,7.479359258425353,0.48479886365724867,162130,0.16213
noise,sigma=0.2,0.2,T2-null,0.5,4.99720863,42,1000000,0.338096,0.0018608731344097323,1.0285207095336806,0.06710725602022793,-0.0652463828858182,0.0036630121540600006,0.0018021390196502683,0.002937441599230175,-0.002094373380431142,0.009420397688551144,1,0.3384117085736578,0.0012396062015815196,7.442769771682545,0.4717677938489621,7.591768409728735,0.5223463066336506,162130,0.16213
noise,sigma=0.4,0.4,T2-null,0.5,4.99720863,42,1000000,0.338096,0.0018608731344097323,1.0285207095336806,0.06710725602022793,-0.0652463828858182,0.001777362061302313,-8.35110731074193e-05,0.003117096544722807,-0.004332147166354388,0.007886871288959015,1,0.33789795489928653,0.0006005670056296319,7.442769771682545,0.4717677938489621,8.06534788222511,0.6604973405495494,162130,0.16213
spatial,state_K10,0.0,T2-null,0.5,4.99720863,42,1000000,0.338096,0.0018608731344097323,1.0285207095336806,0.06710725602022793,-0.0652463828858182,0.0026068594004354582,0.0007459862660257259,0.002829737108603886,-0.002939425332428158,0.008153144133299074,1,0.3383362693867875,0.0008819950843592106,7.442769771682545,0.4717677938489621,7.377937281275107,0.44614515867158916,162130,0.16213
temporal,no_b_term,0.0,T2-null,0.5,4.99720863,42,1000000,0.338096,0.0018608731344097323,1.0285207095336806,0.06710725602022793,-0.0652463828858182,-0.023192316912141506,-0.025053190046551238,0.003342824242918729,-0.029744252428262216,-0.016640381396020795,0,0.265368997997411,-0.0061545219002134,7.442769771682545,0.4717677938489621,11.288710928399665,0.3233701104029515,162130,0.16213
noise,sigma=0.0,0.0,T2-null,0.5,4.99720863,123,1000000,0.338463,0.0018678551003430965,1.028635060349646,0.06709750985000372,-0.06522965474966062,-0.0010335348656925285,-0.002901389966035625,0.0028616920471667457,-0.006642451278139351,0.004575381546754293,1,0.3370315596336658,-0.0003483338677201242,7.436467279000225,0.471342675851105,7.436467279000225,0.471342675851105,162343,0.162343
noise,sigma=0.1,0.1,T2-null,0.5,4.99720863,123,1000000,0.338463,0.0018678551003430965,1.028635060349646,0.06709750985000372,-0.06522965474966062,-0.0010338754722452983,-0.002901730572588395,0.0028797163499467357,-0.006678119518140901,0.004610368573650304,1,0.3365453618674822,-0.00034794599493270795,7.436467279000225,0.471342675851105,7.475155487600305,0.48408423213893353,162343,0.162343
noise,sigma=0.2,0.2,T2-null,0.5,4.99720863,123,1000000,0.338463,0.0018678551003430965,1.028635060349646,0.06709750985000372,-0.06522965474966062,-0.0008975196205957221,-0.0027653747209388188,0.0029184661452949117,-0.006617713265373749,0.004822674024182305,1,0.33702181463512015,-0.0003024836912037948,7.436467279000225,0.471342675851105,7.584804975202117,0.5215281882820741,162343,0.162343
noise,sigma=0.4,0.4,T2-null,0.5,4.99720863,123,1000000,0.338463,0.0018678551003430965,1.028635060349646,0.06709750985000372,-0.06522965474966062,0.0006566941321992652,-0.0012111609681438314,0.003081473368782221,-0.005382993670613888,0.006696381935012418,1,0.33719211479584643,0.0002214320832102934,7.436467279000225,0.471342675851105,8.059232145917425,0.6579302093898994,162343,0.162343
spatial,state_K10,0.0,T2-null,0.5,4.99720863,123,1000000,0.338463,0.0018678551003430965,1.028635060349646,0.06709750985000372,-0.06522965474966062,-0.002920363720269436,-0.004788218820612533,0.002826520346724475,-0.008460343599849407,0.0026196161593105348,1,0.33714328585260533,-0.0009845810205363764,7.436467279000225,0.471342675851105,7.372014889929667,0.44599596472610525,162343,0.162343
temporal,no_b_term,0.0,T2-null,0.5,4.99720863,123,1000000,0.338463,0.0018678551003430965,1.028635060349646,0.06709750985000372,-0.06522965474966062,-0.030860175275216735,-0.03272803037555983,0.003357205926976314,-0.03744029889209031,-0.024280051658343158,0,0.2641260627114924,-0.008150976590029543,7.436467279000225,0.471342675851105,11.29290092011787,0.32308182537491287,162343,0.162343
noise,sigma=0.0,0.0,T2-null,0.5,4.99720863,456,1000000,0.338206,0.0017544586471309742,1.0268079517394388,0.06719991543486029,-0.06544545678772931,-0.0015127583234579324,-0.003267216970588907,0.002866203694288391,-0.007130517564263179,0.004105000917347314,1,0.3359420083248562,-0.0005081990692926003,7.444619843742085,0.4718924942944029,7.444619843742085,0.4718924942944029,162152,0.162152
noise,sigma=0.1,0.1,T2-null,0.5,4.99720863,456,1000000,0.338206,0.0017544586471309742,1.0268079517394388,0.06719991543486029,-0.06544545678772931,-0.0014481532363284707,-0.0032026118834594447,0.002878253908414413,-0.00708953089682072,0.004193224424163779,1,0.33592143217576753,-0.0004864657091574326,7.444619843742085,0.4718924942944029,7.483365352860305,0.4848300402981023,162152,0.162152
noise,sigma=0.2,0.2,T2-null,0.5,4.99720863,456,1000000,0.338206,0.0017544586471309742,1.0268079517394388,0.06719991543486029,-0.06544545678772931,-0.0007792114064836466,-0.0025336700536146206,0.002932926224894977,-0.006527746807277801,0.004969323994310508,1,0.3353507271627634,-0.00026130911177781047,7.444619843742085,0.4718924942944029,7.593800065449719,0.5227656438255226,162152,0.162152
