cell,rho,alpha_b,seed,delta_ZY,N,pi_c,n_C1,crash_rate,tau_LATE_true,NDE_LATE,NIE_LATE,tau_IV_IPSW,SE_tau,CI_L,CI_U,bias,bias_pct,ci_covers_true,tau_IV_positive,FS,RF,reject_H0_tau0,degenerate
T2-c,0.5,3.972,456,0.01,1000000,0.33768,145632,0.145632,-0.018347424226282497,-0.06530633555192603,0.04695891132564351,0.014832737620112724,0.002831338748181651,0.009283313673676689,0.02038216156654876,0.03318016184639522,180.84370556421197,0,1,0.3375101852600627,0.005006200022078147,1,0
T2-c,0.5,3.972,789,0.01,1000000,0.338303,145739,0.145739,-0.018271693602941504,-0.06520786585062725,0.04693617224768573,0.012268191242692262,0.0028401128445065364,0.00670157006745945,0.017834812417925075,0.030539884845633768,167.14315328009465,0,1,0.3363179597581233,0.004126013048664737,1,0
T2-c,0.5,3.972,2026,0.01,1000000,0.338434,146114,0.146114,-0.01824457864241312,-0.06515955558924999,0.046914976946836884,0.011635291724336598,0.002784614175198366,0.0061774479409478006,0.017093135507725395,0.029879870366749717,163.77396788593444,0,1,0.3418878251542328,0.003977964582668483,1,0
T2-c,0.5,3.972,42,0.02,1000000,0.338525,145942,0.145942,-0.01829427067905143,-0.06524843603783635,0.0469541653587849,0.04049287498706319,0.0028651598386145245,0.03487716170337873,0.04610858827074766,0.05878714566611462,321.34183809486944,0,1,0.33720263370343656,0.013654304091861719,1,0
T2-c,0.5,3.972,123,0.02,1000000,0.337101,145989,0.145989,-0.01841825957615533,-0.06545860998161038,0.047040350405455025,0.04602373174487316,0.002848404111471296,0.04044085968638942,0.0516066038033569,0.06444199132102849,349.88100289593297,0,1,0.3379137874224933,0.015552053505226926,1,0
T2-c,0.5,3.972,456,0.02,1000000,0.33768,145632,0.145632,-0.018347424226282497,-0.06530633555192603,0.04695891132564351,0.0444614730975174,0.002851056573633924,0.03887340221319491,0.05004954398183989,0.06280889732379989,342.33087189332434,0,1,0.3375101852600627,0.015006200022078392,1,0
T2-c,0.5,3.972,789,0.02,1000000,0.338303,145739,0.145739,-0.018271693602941504,-0.06520786585062725,0.04693617224768573,0.04200195867869596,0.002858325010688986,0.03639964165774555,0.04760427569964637,0.06027365228163746,329.874469173094,0,1,0.3363179597581233,0.014126013048664024,1,0
T2-c,0.5,3.972,2026,0.02,1000000,0.338434,146114,0.146114,-0.01824457864241312,-0.06515955558924999,0.046914976946836884,0.040884651497497024,0.002801577372363219,0.03539355984766512,0.04637574314732893,0.059129230139910144,324.0920565984056,0,1,0.3418878251542328,0.013977964582668007,1,0
T2-c,0.5,3.972,42,0.05,1000000,0.338525,145942,0.145942,-0.01829427067905143,-0.06524843603783635,0.0469541653587849,0.1294601516376485,0.0030293227777697593,0.12352267899321978,0.13539762428207724,0.14775442231669994,807.654073282582,0,1,0.33720263370343656,0.04365430409186134,1,0
T2-c,0.5,3.972,123,0.05,1000000,0.337101,145989,0.145989,-0.01841825957615533,-0.06545860998161038,0.047040350405455025,0.13480377303538052,0.0030220759979926333,0.12888050407931495,0.1407270419914461,0.15322203261153586,831.9028840808626,0,1,0.3379137874224933,0.045552053505227605,1,0
