cell,rho,alpha_b,seed,use_physics,use_iv,use_ipsw,combo,n_C1,tau_hat,SE,CI_L,CI_U,tau_true,bias,ci_covers_true,D_L,D_U,kappa_ident_width
T2-null,0.5,4.99720863,42,False,True,True,pIW,161593,0.0015632785785294075,0.0028919531015676975,-0.004104949500543279,0.007231506657602095,0.001848,-0.0002847214214705925,True,,,
T2-null,0.5,4.99720863,123,False,True,True,pIW,161953,-0.0002899689627849825,0.0028395002100796854,-0.005855389374541166,0.005275451448971201,0.001848,-0.0021379689627849825,True,,,
T2-null,0.5,4.99720863,456,False,True,True,pIW,162230,0.0020988539325315285,0.0028348736137851246,-0.0034574983504873156,0.007655206215550372,0.001848,0.00025085393253152844,True,,,
T2-null,0.5,4.99720863,789,False,True,True,pIW,162198,0.000799700000841174,0.00284816706740426,-0.004782707451271176,0.006382107452953523,0.001848,-0.001048299999158826,True,,,
T2-null,0.5,4.99720863,2026,False,True,True,pIW,161802,-0.0014333052284080234,0.0029033003220703684,-0.007123773859665945,0.004257163402849898,0.001848,-0.0032813052284080234,True,,,
T2-null,0.5,4.99720863,42,True,False,False,Piw,161593,0.06248992906060545,0.0009847906516427317,0.0605597393833857,0.0644201187378252,0.001848,0.06064192906060545,False,0.01445,0.14352,3.8891533600334185
T2-null,0.5,4.99720863,123,True,False,False,Piw,161953,0.06174305358797527,0.000979154157809094,0.05982391143866945,0.0636621957372811,0.001848,0.05989505358797527,False,0.01445,0.14352,3.842670457947083
T2-null,0.5,4.99720863,456,True,False,False,Piw,162230,0.06183780335124661,0.000981316646282754,0.059914422724532415,0.06376118397796081,0.001848,0.05998980335124661,False,0.01445,0.14352,3.8485673499059727
T2-null,0.5,4.99720863,789,True,False,False,Piw,162198,0.05995127330742492,0.000989272356660768,0.05801229948836981,0.06189024712648002,0.001848,0.058103273307424916,False,0.01445,0.14352,3.731156356342236
T2-null,0.5,4.99720863,2026,True,False,False,Piw,161802,0.05948967885397333,0.000986927155949207,0.057555301628312884,0.06142405607963377,0.001848,0.057641678853973324,False,0.01445,0.14352,3.7024283413388432
T2-null,0.5,4.99720863,42,True,False,True,PiW,161593,0.07101020982423481,0.0009525088395947245,0.06914329249862915,0.07287712714984047,0.001848,0.06916220982423481,False,0.01445,0.14352,4.4194256624416965
T2-null,0.5,4.99720863,123,True,False,True,PiW,161953,0.06935885119606737,0.0009492135758267801,0.06749839258744689,0.07121930980468785,0.001848,0.06751085119606737,False,0.01445,0.14352,4.316650910511208
T2-null,0.5,4.99720863,456,True,False,True,PiW,162230,0.06985942534779958,0.0009555098423458009,0.06798662605680181,0.07173222463879736,0.001848,0.06801142534779958,False,0.01445,0.14352,4.347804884814286
T2-null,0.5,4.99720863,789,True,False,True,PiW,162198,0.06836600688127777,0.0009547807682605488,0.06649463657548708,0.07023737718706845,0.001848,0.06651800688127776,False,0.01445,0.14352,4.254859772948719
T2-null,0.5,4.99720863,2026,True,False,True,PiW,161802,0.0677130551516833,0.0009539278669243963,0.06584335653251149,0.06958275377085511,0.001848,0.0658650551516833,False,0.01445,0.14352,4.21422235422755
T2-null,0.5,4.99720863,42,True,True,False,PIw,161593,-0.016542442652481018,0.0030632251128208062,-0.0225463638736098,-0.010538521431352237,0.001848,-0.018390442652481017,False,0.01445,0.14352,1.029543438314048
T2-null,0.5,4.99720863,123,True,True,False,PIw,161953,-0.018876851109817516,0.0030052938053957545,-0.024767226968393195,-0.012986475251241837,0.001848,-0.020724851109817515,False,0.01445,0.14352,1.174828808805277
T2-null,0.5,4.99720863,456,True,True,False,PIw,162230,-0.01398438974056902,0.0029865673296190164,-0.019838061706622293,-0.008130717774515748,0.001848,-0.015832389740569018,False,0.01445,0.14352,0.8703392236980069
T2-null,0.5,4.99720863,789,True,True,False,PIw,162198,-0.019585851865285876,0.003050908377350575,-0.025565632284893003,-0.013606071445678748,0.001848,-0.021433851865285874,False,0.01445,0.14352,1.2189545217297026
T2-null,0.5,4.99720863,2026,True,True,False,PIw,161802,-0.019668286362411674,0.003081310082422732,-0.025707654123960227,-0.01362891860086312,0.001848,-0.021516286362411673,False,0.01445,0.14352,1.2240849548458699
T2-null,0.5,4.99720863,42,True,True,True,PIW,161593,0.0015632785785294075,0.0028919531015676975,-0.004104949500543279,0.007231506657602095,0.001848,-0.0002847214214705925,True,0.01445,0.14352,0.0972929594856704
T2-null,0.5,4.99720863,123,True,True,True,PIW,161953,-0.0002899689627849825,0.0028395002100796854,-0.005855389374541166,0.005275451448971201,0.001848,-0.0021379689627849825,True,0.01445,0.14352,0.018046648201935023
T2-null,0.5,4.99720863,456,True,True,True,PIW,162230,0.0020988539325315285,0.0028348736137851246,-0.0034574983504873156,0.007655206215550372,0.001848,0.00025085393253152844,True,0.01445,0.14352,0.13062528549212704
T2-null,0.5,4.99720863,789,True,True,True,PIW,162198,0.000799700000841174,0.00284816706740426,-0.004782707451271176,0.006382107452953523,0.001848,-0.001048299999158826,True,0.01445,0.14352,0.04977051489806983
T2-null,0.5,4.99720863,2026,True,True,True,PIW,161802,-0.0014333052284080234,0.0029033003220703684,-0.007123773859665945,0.004257163402849898,0.001848,-0.0032813052284080234,True,0.01445,0.14352,0.08920387538942942
